,Base 10 Score
Icon Village,1.0753450687065178
Far East Square,1.4797043755873542
Pacific Plaza,1.575447546652717
Lucky Chinatown,2.118034498243145
Katong V,2.172526010846819
CQ @ Clarke Quay,2.4384478683955906
Bugis Street,2.999227518312342
Clarke Quay Central,3.0607224442694623
HillV2,4.073577271527839
Holland Village Shopping Mall,4.184538055932337
Square 2,4.24293690212752
The Centrepoint,4.427565160004711
Junction 10,4.673233386601472
West Coast Plaza,4.878497620419961
i12,4.9944170238924475
Raffles City,6.258127245021431
Greenwich V,6.40097610769822
Far East Plaza,6.7162305970529275
Singpost Centre,6.76242583449678
arc,6.8602146102828945
Orchard Central,7.19139992298561
Marina Square,7.209419084016905
ION Orchard,7.231515979163943
Paya Lebar Sq,7.306759436423883
Woods Square,7.398918838127953
Queensway Shopping Centre,7.423512563436239
Katong SC,7.459514710560375
Century Square,7.637538040792967
Paragon,7.788704533205623
Ngee Ann City,7.847080848891954
Bukit Panjang Plaza,8.028707990811943
leisure park,8.328928302627862
Sengkang Grand Mall,8.33466144146168
Funan,8.363834976657934
Suntec City,8.378906832010038
313@Somerset,8.389674416727178
Causeway Point,8.405973639023616
Heartland Mall,8.46966508403778
100 AM,8.501189543798485
City Square Mall,8.543144976291412
Bugis+,8.633922759288307
Velocity,8.668559982338063
Parkway Parade,8.743663374253174
Bugis Junction,8.847208497894597
Northpoint City,8.908005824211498
The Star Vista,8.929980996338148
Jurong Point,8.930899918442156
Plaza Sing,8.951453295666251
JEWEL,9.037240642512428
Westgate,9.05522616821101
PLQ,9.09493418692421
Hougang 1,9.17728437440686
Tampines 1,9.20595372429483
AMK Hub,9.222321206267072
Hillion Mall,9.239203152594644
VivoCity,9.280865412523628
Changi City Pt,9.303736599362464
IMM,9.396088648979168
White Sands,9.407802791936007
NEX,9.482897613429975
JEM,9.501397540496418
Compass One,9.556969856062373
Seletar Mall,9.575583572034404
Hougang Mall,9.576448293230008
Lot One,9.623420903228414
Junction 8,9.651407564367107
Tiong Bahru Plaza,9.662975693613712
Waterway Point,9.912757664868668
Tampines Mall,9.951592322108176
Bedok Mall,10.0
