Malls,Done
100 AM,
313@Somerset,Yes
Aperia,
Balestier Hill Shopping Centre,
Bugis Cube,
Bugis Junction,Yes
Bugis+,Yes
Capitol Piazza,
Cathay Cineleisure Orchard,
Clarke Quay Central,
The Centrepoint,
City Square Mall,Yes
City Gate Mall,
CityLink Mall,
Duo,
Far East Plaza,Yes
Funan,Yes
Great World City,
HDB Hub,
Holland Village Shopping Mall,
ION Orchard,Yes
Junction 8,Yes
Knightsbridge,
Liat Towers,
Lucky Plaza,
Marina Bay Sands,
The Shoppes at Marina Bay Sands,
Marina Bay Link Mall,
Marina Square,Yes
Millenia Walk,
Mustafa Shopping Centre,
Ngee Ann City,Yes
Orchard Central,Yes
Orchard Gateway,
Orchard Plaza,
Midpoint Orchard,
Palais Renaissance,
People's Park Centre,
People's Park Complex,
Plaza Singapura,Yes
PoMo,
Raffles City,
Scotts Square,
Shaw House and Centre,
Sim Lim Square,
Singapore Shopping Centre,
The South Beach,
Square 2,
Sunshine Plaza,
Suntec City,Yes
Tanglin Mall,
Tanjong Pagar Centre,
Tekka Centre,
The Adelphi,
The Paragon,Yes
Tiong Bahru Plaza,Yes
The Poiz,
Thomson Plaza,
United Square,
Thomson V,
Velocity@Novena Square,Yes
Wheelock Place,
Wisma Atria,
Zhongshan Mall,
,
Bedok Mall,Yes
Century Square,
Changi City Point,
Downtown East,
Djitsun Mall Bedok,
Eastpoint Mall,
Jewel Changi Airport,
KINEX (formerly OneKM),Yes
Katong Shopping Centre,
Katong Square,
Kallang Wave Mall,
Leisure Park Kallang,
i12 Katong,
Our Tampines Hub,
Parkway Parade,Yes
Pasir Ris West Plaza,
Paya Lebar Square,Yes
Paya Lebar Quarter (PLQ),Yes
Roxy Square,
Singpost Centre,
Tampines 1,Yes
Tampines Mall,Yes
White Sands,Yes
City Plaza,
Elias Mall,
Loyang Point,
,
888 Plaza,
Admiralty Place,
AMK Hub,Yes
Canberra Plaza,
Causeway Point,
Woodlands Civic Centre,
Broadway Plaza,
Jubilee Square,
Junction 8,Yes
Junction Nine,
Marsiling Mall,
Northpoint City,Yes
Sembawang Shopping Centre,
Sun Plaza,
Vista Point,
Wisteria Mall,
Woodlands Mart,
Woodlands North Plaza,
,
Buangkok Square,
Compass One,Yes
Greenwich V,
Heartland Mall,Yes
Hougang 1,Yes
Hougang Green Shopping Mall,
Hougang Mall,Yes
NEX,Yes
Northshore Plaza,
Oasis Terraces,
Punggol Plaza,
Rivervale Mall,
Rivervale Plaza,
Sengkang Grand Mall,
The Seletar Mall,Yes
Upper Serangoon Shopping Centre,
Waterway Point,Yes
myVillage At Serangoon Garden,
,
Beauty World Centre,
Beauty World Plaza,
Bukit Panjang Plaza,
Bukit Timah Plaza,
Fajar Shopping Centre,
Greenridge Shopping Centre,
Hillion Mall,Yes
HillV2,
Junction 10,
Keat Hong Shopping Centre,
Limbang Shopping Centre,
Lot One,Yes
Rail Mall,
Sunshine Place,
Teck Whye Shopping Centre,
West Mall,
Yew Tee Point,
Yew Tee Square,
,
VivoCity,Yes
HarbourFront Centre,
Alexandra Retail Centre,
,
321 Clementi,
The Clementi Mall,
IMM,Yes
JCube,
Jem,
Westgate,Yes
Jurong Point,Yes
Pioneer Mall,
The Star Vista,Yes
Alexandra Central,
Anchorpoint,
OD Mall,
Boon Lay Shopping Centre,
Grantral Mall,
Fairprice Hub,
Gek Poh Shopping Centre,
Rochester Mall,
Taman Jurong Shopping Centre,
West Coast Plaza,
Queensway Shopping Centre,Yes
The Rail Mall,
