Shop Name,Similar Names
#THEBACKYARDBAKERSHQ,['THE BACKYARD BAKERS']
$KY MONEY CHANGER,['FAUZY MONEY CHANGER']
12HRS MONEY CHANGER,['SINO MONEY CHANGER']
133 BEAUTY SALON,['TAY BEAUTY SALON']
21 MEDICAL AESTHETICS CLINIC,"['APAX MEDICAL & AESTHETICS CLINIC', 'EDWIN LIM MEDICAL AESTHETIC CLINIC', 'V MEDICAL AESTHETICS & LASER CLINIC', 'VALE MEDICAL AESTHETICS CLINIC']"
2NE HAIR STUDIO,"['DE HAIR STUDIO', 'ELAN HAIR STUDIO', 'IMAGE HAIR STUDIO']"
3T MOBILE STORY,['3TMOBILESTORY']
3TMOBILESTORY,['3T MOBILE STORY']
55 FASHION,['E FASHION']
7 ELEVEN,['7-ELEVEN']
7-ELEVEN,['7 ELEVEN']
8 TREASURES,['8TREASURES']
8TREASURES,['8 TREASURES']
@AT TEA,['AT TEA']
A.M AESTHETICS,"['MODE AESTHETICS', 'MOZA AESTHETICS']"
A.R. MONEY EXCHANGE,['A.R.J. MONEY CHANGER']
A.R.J. MONEY CHANGER,['A.R. MONEY EXCHANGE']
ABSOLUTE BOUTIQUE FITNESS,['ABSOLUTE BOUTIQUE FITNESS STUDIO']
ABSOLUTE BOUTIQUE FITNESS STUDIO,['ABSOLUTE BOUTIQUE FITNESS']
ACME TAEKWONDO,['JM TAEKWONDO']
AGRADER LEARNING CENTRE,"['STALFORD LEARNING CENTRE', 'WANG LEARNING CENTRE']"
AI JEWELLERY,"['D&A JEWELLERY', 'GINZA JEWELLERY', 'JIA XIN JEWELLERY', 'SK JEWELLERY', 'TAKA JEWELLERY', 'UJADE JEWELLERY', 'YS JEWELLERY']"
AJS FOREIGN EXCHANGE,"['COMPASS FOREIGN EXCHANGE', 'M.G.M FOREIGN EXCHANGE', 'RESORTS FOREIGN EXCHANGE', ""SALVA'S FOREIGN EXCHANGE""]"
AK COLLECTIONS,"['IE COLLECTION', 'KIZO COLLECTION', 'S COLLECTION', 'UJADE COLLECTIONS']"
AKASHI JAPANESE RESTAURANT,"['BOTAN JAPANESE RESTAURANT', 'IKURA JAPANESE RESTAURANT', 'OOTOYA JAPANESE RESTAURANT']"
ALLURE BEAUTY SALOON,['AUBE BEAUTY SALON']
ANOTHER ONE,['ANOTHERSOLE']
ANOTHERSOLE,['ANOTHER ONE']
APAX MEDICAL & AESTHETICS CLINIC,"['21 MEDICAL AESTHETICS CLINIC', 'VALE MEDICAL AESTHETICS CLINIC']"
ASIA MUSIC SCHOOL,"['KAWAI MUSIC SCHOOL', 'OSSIA MUSIC SCHOOL', 'VIENNA MUSIC SCHOOL', 'YAMAHA MUSIC SCHOOL']"
ASTONS SPECIALITIES,['ASTONS SPECIALTIES']
ASTONS SPECIALTIES,['ASTONS SPECIALITIES']
AT TEA,"['@AT TEA', 'TP TEA']"
AUBE BEAUTY SALON,"['ALLURE BEAUTY SALOON', 'LA PEAU BEAUTY SALON', 'TAY BEAUTY SALON']"
BABIES BELLIES,['BABIES BLISS']
BABIES BLISS,['BABIES BELLIES']
BAKER'S BREW,"[""BAKER'S BREW CAFE"", 'BAKER’S BREW']"
BAKER'S BREW CAFE,"[""BAKER'S BREW""]"
BAKERY CUISINE,['BAKERY CUISINE ONE']
BAKERY CUISINE ONE,['BAKERY CUISINE']
BAKER’S BREW,"[""BAKER'S BREW""]"
BALI THAI,['BALITHAI']
BALITHAI,['BALI THAI']
BAN HENG TEOCHEW PORRIDGE,['YONG XING TEOCHEW PORRIDGE']
BBOUNCE STUDIO,['BOUNCEFIT STUDIOS']
BEARD PAPA'S,['BEARD PAPA’S']
BEARD PAPA’S,"[""BEARD PAPA'S""]"
BEAUTY COLLECTION,['BEAUTY COLLECTIVE']
BEAUTY COLLECTIVE,['BEAUTY COLLECTION']
BEAUTY ESSENTIALS,['EYE ESSENTIALS']
BEE CHENG HIANG,['BEE CHENG HIANG 美珍香']
BEE CHENG HIANG 美珍香,['BEE CHENG HIANG']
